,name,price,type,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,제조국,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,품질보증기준,소비자상담관련 전화번호,품명 및 모델명,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",제조사,A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,소비자 상담 관련 전화번호,재질,구성품,크기,출시년월,수입식품안전관리특별법에 따른 수입신고,A/S 책임자
0,"""편안한 휴식"" [리추얼 선물세트] 샌달우드 괄사 & 비건 오일 2종 (톡별)","29,000원",small_luxury,"바디오일 100ml, 임팩트오일 10ml",모든 피부용,제조일로부터 36개월,샤워 후 물기를 가볍게 닦은 후 본품 적당량을 덜어 부드럽게 펴 발라 두드려 흡수 시켜 줍니다.,톤28,한국,상품상세설명 참조,해당사항 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시의 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2)직사광선을 피해서 보관할 것",본 상품에 이상이 있을 경우 공정거래위원회 고시 ‘소비자 분쟁 해결 기준’에 의거 교환 또는 환불 받을 수 있습니다.,고객상담센터 1588-3512,,,,,,,,,,,,,,,,,,,,,
1,록시땅 베스트 핸드 크림 & 립 세트 (9종 택1)*,"29,000원",small_luxury,각 핸드 크림 : 30ml / 립 밤 : 12ml / 립 밤 스틱 : 4.5g,모든 타입,개봉 후 12개월 내 사용 권장/제조일로부터 2년 이내의 상품을 발송합니다.,핸드 크림 : 건조함을 느낄 때 손에 수시로 발라줍니다. / 립 밤 : 입술이 건조하거나 기분 전환을 원할 때 언제든지 발라준다.,제조업자:Laboratories M&amp;L / 제조판매업자: 록시땅코리아 유한책임회사,상품상세설명 참조,"*NEW 시어 버터 드라이 스킨 핸드 크림 30ml : 정제수,시어버터 ,글리세린,다이메티콘,세테아릴알코올,글리세릴스테아레이트,아마씨추출물,꿀추출물,스위트아몬드열매추출물,마시멜로뿌리추출물,코코넛야자오일,유채스테롤,해바라기씨오일,폴리아크릴아마이드,세테아레스-33,우레아,잔탄검,피이지-100스테아레이트,부틸렌글라이콜,C13-14아이소파라핀,라우레스-7,에틸헥실글리세린,소듐하이드록사이드,벤조익애씨드 ,데하이드로아세틱애씨드,페녹시에탄올,클로페네신,에탄올,토코페롤,향료,리날룰,쿠마린,시트로넬올,알파-아이소메틸아이오논,리모넨,제라니올/ *시어 울트라 리치 립 밤 12ml : 식물성오일,피마자씨오일,올레익/리놀레익/리놀레닉폴리글리세라이즈,해바라기씨오일,시어버터,비즈왁스,하이드로제네이티드캐스터오일,하이드로제네이티드팜커넬글라이세라이드,하이드로제네이티드팜글라이세라이드,토코페롤,향료,리날룰,벤질벤조에이트/ *시어 버터 립 밤 스틱 4.5g : 옥틸도데칸올,시어버터,C10-18트라이글리세라이즈,하이드로제네이티드캐스터오일,칸데릴라왁스,하이드로제네이티드코코-글라이세라이드,비즈왁스,C18-36애씨드트라이글리세라이드,C18-36애씨드글라이콜에스터,호호바씨오일,토코페릴아세테이트,수크로오스테트라스테아레이트트라이아세테이트,향료,벤질벤조에이트,알파-아이소메틸아이오논/ *체리 블라썸 소프트 핸드 크림 30ml : 정제수,아이소노닐아이소노나노에이트,글리세린,세테아릴알코올,시어버터,사이클로메티콘,세틸알코올,신양벚나무추출물(0.002%),로즈마리잎추출물,코코넛야자오일,해바라기씨오일,비즈왁스,변성옥수수전분,에틸헥실글리세린,페녹시에탄올,클로페네신,프로필렌글라이콜,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,잔탄검,세테아레스-33,폴리솔베이트60,솔비탄아이소스테아레이트,토코페롤,향료,리모넨,알파-아이소메틸아이오논,리날룰/ *체리 블라썸 립 밤 12ml : 옥틸도데칸올,해바라기씨오일,식물성오일,올레익/리놀레익/리놀레닉폴리글리세라이즈,피마자씨오일,글리세린,트라이하이드록시스테아린,시어버터,비즈왁스,정제수,호호바에스터,해바라기씨왁스,하이드로제네이티드캐스터오일,신양벚나무추출물,그린와틀꽃왁스,수크랄로오스,폴리글리세린-3,프로필렌글라이콜,토코페롤,향료,리날룰,제라니올,적색201호/ *2022 로즈 핸드 크림 30ml : 정제수 글리세린 세테아릴알코올 코코-카프릴레이트/카프레이트 해바라기씨오일 시어버터 향료 세틸알코올 시어버터추출물 프로방스장미꽃수 (0.494%)변성옥수수전분 세테아레스-33 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머 카프릴릴글라이콜 클로페네신 잔탄검 비즈왁스 토코페롤 솔비탄아이소스테아레이트 폴리솔베이트60 소듐벤조에이트 시트릭애씨드 시트로넬올 리날룰 리모넨 제라니올 시트랄 / *로즈 립 밤 12ml : 옥틸도데칸올,해바라기씨오일,식물성오일 올레익/리놀레익/리놀레닉폴리글리세라이즈피마자씨오일,글리세린,트라이하이드록시스테아린,시어버터,비즈왁스,정제수,호호바에스터,해바라기씨왁스,하이드로제네이티드캐스터오일,프로방스장미꽃추출물(0.00525%),프로방스장미꽃수(0.000996%),그린와틀꽃왁스,토코페롤,폴리글리세린-3,수크랄로오스,폴리하이드록시스테아릭애씨드,시트릭애씨드,소듐벤조에이트,향료,제라니올,시트랄,리모넨,시트로넬올,리날룰,적색202호,티타늄디옥사이드 / *라벤더 핸드 크림 30ml : 정제수,글리세린,쉐어버터,세테아릴알코올,포도씨오일,디카프릴릴카보네이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,세틸알코올,디메치콘,라벤더오일,코코넛오일,비즈왁스,해바라기씨오일,로즈마리잎추출물,세테아릴글루코사이드,토코페롤,폴리소르베이트60,소르비탄이소스테아레이트,페녹시에탄올,변성옥수수전분,클로페네신,향료,잔탄검,에칠헥실글리세린,쿠마린,리날룰,리모넨,제라니올/ *버베나 핸드 크림 30ml: 정제수,시어버터,글리세린,다이메티콘,세테아릴알코올,글리세릴스테아레이트,아마씨추출물,꿀추출물,시어버터,마시멜로뿌리추출물,코코넛야자오일,유채스테롤,해바라기씨오일,폴리아크릴아마이드,세테아레스-33,우레아,잔탄검,피이지-100스테아레이트,부틸렌글라이콜,C13-14아이소파라핀,라우레스-7,에틸헥실글리세린,소듐하이드록사이드,벤조익애씨드,데하이드로아세틱애씨드,향료,클로페네신,에탄올,토코페롤,향료,리날룰,쿠마린,시트로넬올,알파-아이소메틸아이오논,리모넨,제라니올/ *아몬드 딜리셔스 핸드 크림 30ml: 정제수,글리세린,세테아릴알코올,해바라기씨오일,시어버터,코코-카프릴레이트/카프레이트,변성옥수수전분,스위트아몬드오일,스위트아몬드단백질,코코넛야자오일,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,세테아레스-33,카프릴릴글라이콜,세틸알코올,잔탄검,만니톨,토코페롤,솔비탄아이소스테아레이트,폴리솔베이트60,하이드로제네이티드레시틴,시트릭애씨드,향료,리모넨,리날룰,쿠마린",해당 없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시의 주의사항 1)어린이의 손이 닿지 않는 곳에 보관할 것 2)직사광선을 피해서 보관할 것.",관련법 및 소비자분쟁해결기준에 따름,록시땅 / 02)2054-0500 / 상담시간 오전 10시-오후 5시,,,,,,,,,,,,,,,,,,,,,
2,[선물하기 단독] 달바 '비건' 페이스&핸드 해피버스데이 기프트 세트(미스트세럼+핸드세럼),"26,900원",small_luxury,미스트 세럼 100ml+핸드 세럼 30ml,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,"1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것  2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시의 주의사항  가) 어린이의 손이 닿지 않는 곳에 보관할 것   나) 직사광선을 피해서 보관할 것","본 상품에 이상이 있을 경우 공정거래 위원회 고시 ""소비자 분쟁 해결기준""에 의해 교환 또는 보상해 드립니다.",02-332-7727,,,,,,,,,,,,,,,,,,,,,
3,[단독/핸드타올증정] 라벤더 바디워시 & 바디로션 2종 세트,"38,000원",small_luxury,바디워시: 300ml / 바디로션: 300ml / 핸드타월,모든피부,"제조일로부터 30개월, 개봉 후 12개월","바디워시: 손바닥이나 샤워타올에 적당량을 덜어 마사지하듯 골고루 문질러 준 후, 미온수로 잘 헹구어 줍니다.",(주)아로마티카,한국,"바디워시: 정제수, 소듐코코일이세티오네이트, 라우릴베타인, 소듐메틸코코일타우레이트, 라우릴글루코사이드, 소듐클로라이드, 코코-베타인, 1,2-헥산다이올, 라벤더오일(954mg), 판테놀, 카프릴릴글라이콜, 포타슘하이드록사이드, 리날룰, 라반딘오일, 부틸렌글라이콜, 스타아니스추출물, 폴리쿼터늄-10, 다이소듐이디티에이, 베르가모트오일, 리모넨, 마닐라엘레미트리검오일, 다이프로필렌글라이콜, 벤조인나무수지추출물, 마조람잎오일(24mg)/  바디로션: 정제수, 글리세린(식물유래보습제), 부틸렌글라이콜(보습제), 에틸헥실팔미테이트(식물유래유연제), 카프릴릭/카프릭트라이글리세라이드(식물유래유연제), 프로판다이올(식물유래보습제), 폴리글리세릴-3메틸글루코오스다이스테아레이트(식물유래유화제), 시어버터, 해바라기씨오일, 트라이에틸시트레이트(유연제), 솔비탄스테아레이트(식물유래유화제), 옥틸도데칸올(식물유래유연제), 하이드록시에틸우레아(보습제), 베타인(사탕무유래보습제), 글리세릴글루코사이드(식물유래보습제), 에리스리톨(포도당유래보습제), 바바수씨오일, 코코-카프릴레이트/카프레이트(코코넛유래유연제), 세테아릴스테아레이트(식물유래유화제), 1,2-헥산다이올(유연제), 라벤더오일(688mg), 리날룰(라벤더오일 함유 성분), 라반딘오일, 카프릴릴글라이콜(유연제), 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머(보습/점도조절제), 스타아니스추출물, 베르가모트오일, 알지닌(아미노산피부유연제), 잔탄검(단백질발효보습/점도조절제), 리모넨(버가못오일 함유 성분), 벤조인나무수지추출물(벤조인오일), 마닐라엘레미트리검오일(엘레미오일), 하이드로제네이티드올리브오일불검화물(올리브유래유연제), 다이프로필렌글라이콜(보습제), 제라니올(라벤더오일 함유 성분), 벤질벤조에이트(벤조인오일 함유 성분), 벤질알코올(벤조인오일 함유 성분), 마조람잎오일(3mg)",해당없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것 4. 제품 사용 전 (윗팔 안쪽 부위에) 패치 테스트 후 사용할 것 5. 식물 유래 성분으로 인해 색상이 변할 수 있음",본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다.,1600-3689,,,,,,,,,,,,,,,,,,,,,
4,디프로젝트 차량용방향제_블랙라이언,"49,000원",small_luxury,,,,,,한국,,,,,,디프로젝트 차량용방향제_블랙라이언 8809814926726,안전확인대상 생활화학제품 표시사항 CB19-12-0995,디프로젝트,카카오프렌즈 고객센터 1577-6263,,,,,,,,,,,,,,,,,
5,"""향기 선물"" ""홀리데이성냥/트레이 증정"" 페이퍼 인센스 디스커버리 세트(5가지 향기)(톡별)","20,000원",small_luxury,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,펀샤인,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,
6,레저렉션 아로마틱 핸드 밤,"31,000원",small_luxury,75ml,모든 피부 타입,제조일로부터 36개월 이내 사용. 제조 연월은 제품 라벨 뒷면의 배치 코드에서 확인 바랍니다.,큐티클에 세심한 주의를 기울여 필요할 때마다 깨끗한 손에 바르세요.,이솝코리아 유한회사,상품상세설명 참조,"정제수, 글리세린, 스위트아몬드오일, 세테아릴알코올, 팔미틱애씨드, 세테아레스-20, 코코넛야자오일, 퀸즈랜드넛오일, 스테아릭애씨드, 필리핀오렌지껍질오일, 글리세릴스테아레이트, 아틀라스시다나무껍질오일, 알로에베라잎즙, 라벤더오일, 시어버터, 카카오씨버터, 오렌지오일, 토코페롤, 해바라기씨오일, 페녹시에탄올, 로즈마리잎오일, 왕귤씨추출물, 밀배아오일, 돌콩오일, 다이소듐이디티에이, 베타-카로틴, 당근추출물, 리모넨, 리날룰, 제라니올, 시트랄",해당 사항 없음,"""1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것.",본 제품에 이상이 있을 시 공정거래위원회 고시 품목별 소비자 분쟁 해결기준에 의해 보상해드립니다.,1544-2431,,,,,,,,,,,,,,,,,,,,,
7,[NEW센트/선물포장] 핸드 크림 50ML,"43,000원",small_luxury,50ml,모든 피부용,유통기한과 제조일자가 상품마다 상이하여 정확한 날짜를 기재 할 수 없습니다.,소량을 덜어 손에 마사지하듯 발라주어 충분히 보습해줍니다. 필요할 때 수시로 빌라줍니다.,조 말론 런던 / 이엘씨에이한국(유),영국,"1. 제라늄 앤 월넛: 정제수, 부틸렌글라이콜, 코코-카프릴레이트/카프레이트, 스테아릭애씨드, 행인오일, 에칠헥실팔미테이트, 글리세린, 토코페릴아세테이트, 하이드로제네이티드폴리이소부텐, 디메치콘, 세틸알코올, 쉐어버터, 산뽕나무뿌리추출물, 감초추출물, 황금추출물, 밀배아추출물, 보리추출물, 밀겨추출물, 올리브추출물, 카페인, 콜레스테롤, 리놀레익애씨드, 클라리추출물, 아보카도오일, 아세틸헥사펩타이드-8, 피토스핑고신, 소듐하이알루로네이트, 슈크로오스, 스쿠알란, 아세틸글루코사민, 프로필렌글라이콜디카프레이트, 소르비탄스테아레이트, 트레할로스, 하이드로제네이티드레시틴, 효모추출물, 에칠헥실글리세린, 소듐데하이드로아세테이트, 포타슘하이드록사이드, 카보머, 테트라헥실데실아스코베이트, 향료, 디소듐이디티에이, 시트랄, 리날룰, 시트로넬올, 제라니올, 페녹시에탄올 [ILN42498] 2. 라임 바질 앤 만다린: 정제수, 부틸렌글라이콜, 코코-카프릴레이트/카프레이트, 스테아릭애씨드, 행인오일, 에틸헥실팔미테이트, 글리세린, 토코페릴아세테이트, 하이드로제네이티드폴리아이소부텐, 세틸알코올, 다이메티콘, 아세틸글루코사민, 향료, 시어버터, 콜레스테롤, 수크로오스, 카페인, 클레리추출물, 아보카도오일, 소듐하이알루로네이트, 트레할로오스, 하이드로제네이티드레시틴, 에틸헥실글리세린, 솔비탄스테아레이트, 리놀레익애씨드, 카보머, 포타슘하이드록사이드, 다이소듐이디티에이, 리모넨, 부틸페닐메틸프로피오날, 리날룰, 하이드록시시트로넬알, 알파-아이소메틸아이오논, 시트랄, 참나무이끼추출물, 제라니올, 아밀신남알, 소듐데하이드로아세테이트, 페녹시에탄올 [ILN44113] 3. 잉글리쉬 페어 앤 프리지아: 정제수, 부틸렌글라이콜, 코코-카프릴레이트/카프레이트, 스테아릭애씨드, 행인오일, 에틸헥실팔미테이트, 글리세린, 토코페릴아세테이트, 하이드로제네이티드폴리아이소부텐, 세틸알코올, 다이메티콘, 향료, 아세틸글루코사민, 클레리추출물, 시어버터, 아보카도오일, 카페인, 콜레스테롤, 에틸헥실글리세린, 트레할로오스, 리놀레익애씨드, 수크로오스, 카보머, 솔비탄스테아레이트, 소듐하이알루로네이트, 포타슘하이드록사이드, 하이드로제네이티드레시틴, 다이소듐이디티에이, 리모넨, 벤질벤조에이트, 부틸페닐메틸프로피오날, 제라니올, 리날룰, 시트로넬올, 시트랄, 파네솔, 소듐데하이드로아세테이트, 페녹시에탄올 [ILN44060] 4. 피오니 앤 블러쉬 스웨이드: 정제수, 부틸렌글라이콜, 코코-카프릴레이트/카프레이트, 스테아릭애씨드, 행인오일, 에틸헥실팔미테이트, 글리세린, 토코페릴아세테이트, 하이드로제네이티드폴리아이소부텐, 세틸알코올, 다이메티콘, 향료, 아세틸글루코사민, 클레리추출물, 시어버터, 아보카도오일, 카페인, 수크로오스, 콜레스테롤, 소듐하이알루로네이트, 리놀레익애씨드, 트레할로오스, 에틸헥실글리세린, 카보머, 솔비탄스테아레이트, 하이드로제네이티드레시틴, 포타슘하이드록사이드, 변성알코올, 다이소듐이디티에이, 알파-아이소메틸아이오논, 벤질알코올, 제라니올, 시트로넬올, 벤질살리실레이트, 하이드록시시트로넬알, 리날룰, 유제놀, 신나밀알코올, 소듐데하이드로아세테이트, 페녹시에탄올 [ILN44061] 5. 와일드 블루벨 : '전성분: 벤질벤조에이트,페녹시에탄올,글리세린,다이메티콘,다이소듐이디티에이,리날룰,벤질살리실레이트,비사보롤,세테아릴알코올,스위트아몬드오일,스테아릭애씨드,알로에베라잎즙,아이소프로필팔미테이트,카카오씨버터,카페인,카프릴릴글라이콜,트라이에탄올아민,파네솔,헥실렌글라이콜,헥실신남알,호호바씨오일,정제수,향료,글리세릴스테아레이트[ILN37505]  *제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",해당 사항 없음,"1. 화장품을 사용하여 다음과 같이 이상이 있을 경우에는 사용을 중지할 것이며, 계속 사용하면 증상을 악화시키므로 피부과 전문의 등에게 상담할 것 1)사용 중 붉은 반점, 부어오름, 가려움증, 자극 등의 이상이 있을 경우 2)적용부위가 직사광선에 의해 위와 같은 이상이 있을 경우 2. 상처가 있는 곳 또는 습진 및 피부염등의 이상이 있는 부위에는 사용을 금할 것 3. 눈에 들어가지 않도록 주의할 것 4. 보관 및 취급상의 주의사항 1)사용 후에는 반드시 마개를 닫아 둘 것 2)유.소아의 손에 닿지 않는 곳에 보관할 것 3)고온 내지 저온의 장소 및 직사광선이 닿는 곳에는 보관하지 말 것 *기타 제품 특이적인 주의사항은 제품 포장 참조",관련법 및 소비자 분쟁해결 기준에 따름,조 말론 런던 고객관리지원팀 02-6971-3221,,,,,,,,,,,,,,,,,,,,,
8,[NEW센트/선물포장] 바디 크림 50ML,"43,000원",small_luxury,50ml,모든 피부용,유통기한과 제조일자가 상품마다 상이하여 정확한 날짜를 기재 할 수 없습니다.,"샤워 혹은 배스 타임 후, 충분한 양의 바디 크림을 떠서 손바닥 사이에서 살짝 녹여줍니다. 바디 크림이 흡수될 때까지 피부에 마사지합니다. 컴바이닝할 수 있는 코롱을 마지막으로 뿌려주면 시그니처 향이 더욱 오래 지속됩니다.",조 말론 런던 / 이엘씨에이한국(유),상품상세설명 참조,"정제수 , 글리세린 , 세테아릴알코올 , 호호바씨오일 , 글리세릴스테아레이트 , 향료 , 스테아릭애씨드 , 트라이에탄올아민 , 아이소프로필팔미테이트  , 카카오씨버터 , 스위트아몬드오일 , 알로에베라잎추출물 , 카페인 , 다이메티콘 , 카프릴릴글라이콜 , 비사보롤 , 헥실렌글라이콜 , 리날룰 , 제라니올 , 리모넨 , 부틸페닐메틸프로피오날 , 시트로넬올 , 시트랄 , 다이소듐이디티에이 , 페녹시에탄올 [ILN39538] 정제수 , 글리세린 , 세테아릴알코올 , 호호바씨오일 , 글리세릴스테아레이트 , 스테아릭애씨드 , 향료 , 트라이에탄올아민 , 스위트아몬드오일 , 카카오씨버터 , 비사보롤 , 카페인 , 다이메티콘 , 아이소프로필팔미테이트  , 알로에베라잎추출물 , 글리세릴라우레이트 , 코카미도프로필피지-디모늄클로라이드포스페이트 , 카프릴릴글라이콜 , 헥실렌글라이콜 , 제라니올 , 아밀신남알 , 벤질살리실레이트 , 시트로넬올 , 리모넨 , 부틸페닐메틸프로피오날 , 리날룰 , 하이드록시시트로넬알 , 알파-아이소메틸아이오논  , 참나무이끼추출물 , 시트랄 , 다이소듐이디티에이 , 페녹시에탄올 [ILN39544] 정제수 , 글리세린 , 세테아릴알코올 , 호호바씨오일 , 글리세릴스테아레이트 , 스테아릭애씨드 , 향료 , 트라이에탄올아민 , 아이소프로필팔미테이트  , 카카오씨버터 , 스위트아몬드오일 , 알로에베라잎추출물 , 다이메티콘 , 카페인 , 카프릴릴글라이콜 , 비사보롤 , 헥실렌글라이콜 , 다이소듐이디티에이 , 벤질알코올 , 벤질살리실레이트 , 제라니올 , 하이드록시시트로넬알 , 시트로넬올 , 리날룰 , 알파-아이소메틸아이오논  , 유제놀 , 신나밀알코올 , 리모넨 , 페녹시에탄올 [ILN40189] * 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다.  최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",해당 사항 없음,"1. 화장품을 사용하여 다음과 같이 이상이 있을 경우에는 사용을 중지할 것이며, 계속 사용하면 증상을 악화시키므로 피부과 전문의 등에게 상담할 것 1)사용 중 붉은 반점, 부어오름, 가려움증, 자극 등의 이상이 있을 경우 2)적용부위가 직사광선에 의해 위와 같은 이상이 있을 경우 2. 상처가 있는 곳 또는 습진 및 피부염등의 이상이 있는 부위에는 사용을 금할 것 3. 눈에 들어가지 않도록 주의할 것 4. 보관 및 취급상의 주의사항 1)사용 후에는 반드시 마개를 닫아 둘 것 2)유.소아의 손에 닿지 않는 곳에 보관할 것 3)고온 내지 저온의 장소 및 직사광선이 닿는 곳에는 보관하지 말 것 *기타 제품 특이적인 주의사항은 제품 포장 참조",관련법 및 소비자 분쟁해결 기준에 따름,조 말론 런던 고객관리지원팀 02-6971-3221,,,,,,,,,,,,,,,,,,,,,
9,[NEW센트/선물포장] 바디 앤 핸드 워시 100ML,"35,000원",small_luxury,100ml,모든 피부용,유통기한과 제조일자가 상품마다 상이하여 정확한 날짜를 기재 할 수 없습니다.,샤워 혹은 배스 타임에 물기 있는 바디에 거품을 만들어 바른 후 물로 씻어냅니다.,조 말론 런던 / 이엘씨에이한국(유),상품상세설명 참조,"""정제수, 소듐라우레스설페이트, 라우라미도프로필베타인, 피이지-7글리세릴코코에이트, 향료, 폴리쿼터늄-7, 카페인, 시트릭애씨드, 슈크로오스, 폴리소르베이트20, 헥실렌글라이콜, 세테스-20, 소듐클로라이드, 리모넨, 부틸페닐메칠프로피오날, 리날룰, 하이드록시시트로넬알, 알파-이소메칠이오논, 참나무이끼추출물, 시트랄, 메칠클로로이소치아졸리논, 메칠이소치아졸리논 [ILN41613] *제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.""",해당 사항 없음,"1. 화장품을 사용하여 다음과 같이 이상이 있을 경우에는 사용을 중지할 것이며, 계속 사용하면 증상을 악화시키므로 피부과 전문의 등에게 상담할 것 1)사용 중 붉은 반점, 부어오름, 가려움증, 자극 등의 이상이 있을 경우 2)적용부위가 직사광선에 의해 위와 같은 이상이 있을 경우 2. 상처가 있는 곳 또는 습진 및 피부염등의 이상이 있는 부위에는 사용을 금할 것 3. 눈에 들어가지 않도록 주의할 것 4. 보관 및 취급상의 주의사항 1)사용 후에는 반드시 마개를 닫아 둘 것 2)유.소아의 손에 닿지 않는 곳에 보관할 것 3)고온 내지 저온의 장소 및 직사광선이 닿는 곳에는 보관하지 말 것 *기타 제품 특이적인 주의사항은 제품 포장 참조",관련법 및 소비자 분쟁해결 기준에 따름,조 말론 런던 고객관리지원팀 02-6971-3221,,,,,,,,,,,,,,,,,,,,,
